commodity_id,hs_code,commodity_desc,fish_type
0,404.0,"Atlantic salmon, fillets",Salmon
1,404.0,"Atlantic salmon, fresh",Salmon
2,404.0,"Atlantic salmon, frozen",Salmon
3,404.0,"Atlantic salmon, total",Salmon
4,404.0,Clams,Clam
5,404.0,Mussels,Mussel
6,404.0,Ornamental fish,Ornamental
7,404.0,Oysters,Oyster
8,404.0,"Pacific salmon, fresh",Salmon
9,404.0,"Pacific salmon, frozen",Salmon
10,404.0,"Salmon, canned and prepared",Salmon
11,404.0,Scallops,Scallop
12,404.0,"Shrimp, fresh",Shrimp
13,404.0,"Shrimp, fresh and prepared",Shrimp
14,404.0,"Shrimp, frozen",Shrimp
15,404.0,"Shrimp, prepared",Shrimp
16,404.0,"Shrimp, total",Shrimp
17,404.0,"Tilapia, Fillets, fresh",Tilapia
18,404.0,"Tilapia, Fillets, frozen",Tilapia
19,404.0,"Tilapia, Whole, frozen",Tilapia
20,404.0,"Tilapia, total",Tilapia
21,404.0,"Trout, fresh and frozen",Trout
22,404.0,"Trout, live",Trout
23,301100000.0,"FISH, ORNAMENTAL, LIVE",Ornamental
24,301100010.0,"KOI (COMMON) CARP (CYPRINUS CARPIO), LIVE",Carp
25,301100020.0,"GOLDFISH AND CRUCIAN CARP, LIVE",Carp
26,301100090.0,"FISH, ORNAMENTAL, LIVE, NESOI",Ornamental
27,301110000.0,"ORNAMENTAL FRESHWATER FISH, LIVE",Ornamental
28,301110010.0,"KOI (COMMON) CARP (CYPRINUS CARPIO), LIVE",Carp
29,301110020.0,"GOLDFISH AND CRUCIAN CARP, LIVE",Carp
30,301110090.0,"ORNAMENTAL FRESHWATER FISH, LIVE",Ornamental
31,301190000.0,"ORNAMENTAL FISH (OTHER THAN FRESHWATER), LIVE",Ornamental
32,301910000.0,"TROUT (SALMO TRUTTA, GAIRDNERI, CLARKI ETC.), LIVE",Trout
33,302110000.0,"TROUT (SALMO TRUTTA, S. CLARKI ETC) FRESH, CHILLED",Trout
34,302110010.0,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,Trout
35,302110090.0,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,Trout
36,302120002.0,ATLANTIC SALMON FRESH OR CHILLED EX FILLET/LVR/ROE,Salmon
37,302120003.0,ATLANTIC SALMON FARMED FRSH/CHLD EX FILLET/LIV/ROE,Salmon
38,302120004.0,ATLANTIC SALMON NT FARMD FRSH/CHLLD EX FLT/LVR/ROE,Salmon
39,302120010.0,"CHINOOK (KING) SALMON STEAKS, FRESH OR CHILLED",Salmon
40,302120012.0,CHINOOK (KING) SALMON FRSH/CHLLD EX FILLET/LVR/ROE,Salmon
41,302120013.0,CHINOOK (KING) SALMON FARMED FRSH/CHLLD EX ROE ETC,Salmon
42,302120014.0,"CHINOOK (KING) SALMON NOT FARMED, FRESH/CHILLD ETC",Salmon
43,302120015.0,"CHINOOK (KING) SALMON, FRESH OR CHILLED, NESOI",Salmon
44,302120020.0,"CHUM (DOG) SALMON STEAKS, FRESH OR CHILLED",Salmon
45,302120022.0,CHUM (DOG) SALMON FRESH/CHILLD EX FILLET/LIVER/ROE,Salmon
46,302120025.0,"CHUM (DOG) SALMON, FRESH OR CHILLED, NESOI",Salmon
47,302120030.0,"PINK (HUMPIE) SALMON STEAKS, FRESH OR CHILLED",Salmon
48,302120032.0,PINK (HUMPIE) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,Salmon
49,302120035.0,"PINK (HUMPIE) SALMON, FRESH OR CHILLED, NESOI",Salmon
50,302120040.0,"SOCKEYE (RED) SALMON STEAKS, FRESH OR CHILLED",Salmon
51,302120042.0,SOCKEYE (RED) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,Salmon
52,302120045.0,"SOCKEYE (RED) SALMON, FRESH OR CHILLED, NESOI",Salmon
53,302120050.0,"COHO (SILVER) SALMON STEAKS, FRESH OR CHILLED",Salmon
54,302120052.0,COHO (SILVER) SALMON FRSH/CHILLD EX FILLET/LVR/ROE,Salmon
55,302120053.0,COHO (SILVER) SALMON FARMED FRSH/CHLLD EX ROE/ETC,Salmon
56,302120054.0,"COHO (SILVER) SALMON, NOT FARMED FRESH/CHILLD ETC",Salmon
57,302120055.0,"COHO (SILVER) SALMON, FRESH OR CHILLED, NESOI",Salmon
58,302120060.0,"SALMON STEAKS, NESOI, FRESH OR CHILLED",Salmon
59,302120062.0,"SALMON, NESOI, FRESH OR CHILLED EX FILLET/LVR/ROE",Salmon
60,302120065.0,"SALMON, NESOI, FRESH OR CHILLED",Salmon
61,302130012.0,"CHINOOK (KING) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED",Salmon
62,302130013.0,"CHINOOK (KING) SALMON, FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",Salmon
63,302130014.0,"CHINOOK (KING) SALMON, FRESH OR CHILLED EXCEPT FARMED, FILLETS, LIVERS AND ROES",Salmon
64,302130022.0,"CHUM (DOG) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",Salmon
65,302130032.0,"PINK (HUMPIE) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",Salmon
66,302130042.0,"SOCKEYE (RED) SALMON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",Salmon
67,302130052.0,"COHO (SILVER) SALMON, EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED",Salmon
68,302130053.0,"COHO (SILVER) SALMON, FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES",Salmon
69,302130054.0,"COHO (SILVER) SALMON, NOT FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND R",Salmon
70,302130062.0,"PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHYNCH GORBUSCHA, ETC), FRESH OR CHILLED",Salmon
71,302130062.0,"PACIFIC SALMON, FRESH OR CHILLED, EXCEPT FILLETS, FISH MEAT OF HEADING 0304, LIV",Salmon
